ad_id,suburb,title,address,price_raw,price_lkr,bedrooms,floor_sqft,url,land_perches,bathrooms
5805262,Pannipitiya,House for Sale Depanama - Pannipitiya,,Rs. 68M,68000000.0,4.0,2600.0,https://www.lankapropertyweb.com/sale/property_details-5805262.html,6.4,4.0
5805264,Rajagiriya,House for Sale Kalapaluwawa - Rajagiriya,,Rs. 90M,90000000.0,4.0,2500.0,https://www.lankapropertyweb.com/sale/property_details-5805264.html,26.6,3.0
5809147,Athurugiriya,House for Sale Athurugiriya,,Rs. 30M,30000000.0,3.0,1600.0,https://www.lankapropertyweb.com/sale/property_details-5809147.html,18.5,2.0
5810190,Wattala,House for Sale Wattala,,Rs. 80M,80000000.0,3.0,3200.0,https://www.lankapropertyweb.com/sale/property_details-5810190.html,14.0,4.0
5810931,Attidiya,House for Sale Lake Road - Attidiya,,Rs. 225M,225000000.0,4.0,,https://www.lankapropertyweb.com/sale/property_details-5810931.html,26.2,4.0
5822238,Dehiwala,House for Sale Dehiwala - Kawdana Broadway,,Rs. 285M,285000000.0,8.0,,https://www.lankapropertyweb.com/sale/property_details-5822238.html,26.0,7.0
5825371,Pannipitiya,House for Sale Pannipitiya,,Rs. 65M,65000000.0,4.0,2579.0,https://www.lankapropertyweb.com/sale/property_details-5825371.html,20.0,4.0
5827473,Colombo 5,House for Sale Off Thimbirigasyaya Road - Colombo 5,,Rs. 190M,190000000.0,7.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5827473.html,12.0,
5835478,Malabe,House for Sale Kahantota Road - Malabe,,Rs. 55M,55000000.0,4.0,2540.0,https://www.lankapropertyweb.com/sale/property_details-5835478.html,8.0,3.0
5838169,Polgasowita,House for Sale Golden Meadows - Polgasowita,,Rs. 80M,80000000.0,5.0,,https://www.lankapropertyweb.com/sale/property_details-5838169.html,9.0,4.0
5842412,Kandana,House for Sale Kandana,,Rs. 88M,88000000.0,7.0,,https://www.lankapropertyweb.com/sale/property_details-5842412.html,20.0,6.0
5855675,Angoda,House for Sale Sentino Valley - Angoda,,Rs. 27M,27000000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5855675.html,6.0,1.0
5858952,Dehiwala,House for Sale Greenland Anuene - Off Anderson Rd....,,Rs. 125M,125000000.0,4.0,3700.0,https://www.lankapropertyweb.com/sale/property_details-5858952.html,36.0,3.0
5859790,Thalawathugoda,House for Sale Prime Clover - Thalawathugoda,,Rs. 98M,98000000.0,3.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5859790.html,9.8,3.0
5859860,Thalawathugoda,House for Sale Prime Clover - Thalawathugoda,,Rs. 96M,96000000.0,4.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5859860.html,8.1,4.0
5868314,Colombo 5,House for Sale Colombo 5,,Rs. 470M,470000000.0,3.0,3000.0,https://www.lankapropertyweb.com/sale/property_details-5868314.html,35.0,
5869800,Thalawathugoda,House for Sale Hokandara Road - Thalawathugoda,,Rs. 65M,65000000.0,4.0,4000.0,https://www.lankapropertyweb.com/sale/property_details-5869800.html,6.0,4.0
5863257,Kelaniya,"Spacious Multi-Unit House for Sale – Waragoda Road,...","Waragoda Road, Kelaniya",Rs. 45MNegotiable,45000000.0,5.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5863257.html,20.5,2.0
5658925,Maharagama,"House for Sale - Maharagama | LKR 260,000,000",,Rs. 260M,260000000.0,3.0,3750.0,https://www.lankapropertyweb.com/sale/property_details-5658925.html,50.0,3.0
5868367,Kohuwala,House for Sale Field Avenue - Kohuwala,,Rs. 32M,32000000.0,3.0,1633.5,https://www.lankapropertyweb.com/sale/property_details-5868367.html,6.0,2.0
5868694,Kiribathgoda,House for Sale Kiribathgoda,,Rs. 70M,70000000.0,4.0,2500.0,https://www.lankapropertyweb.com/sale/property_details-5868694.html,23.0,3.0
5859704,Colombo 3,Modern Architectural Designed House in Colpetty Colombo...,"27th Lane, Colombo 3",Rs. 420M,420000000.0,4.0,,https://www.lankapropertyweb.com/sale/property_details-5859704.html,11.5,4.0
5763953,Colombo 7,New 4BR House in Malalasekara Place Colombo 7 For Sale,"Malalasekara Place, Colombo 7",Rs. 300MONO,300000000.0,4.0,3000.0,https://www.lankapropertyweb.com/sale/property_details-5763953.html,9.0,4.0
5763667,Colombo 5,Luxury 20P House in Andarewatta Road Colombo 5 For...,"Andarewatta Road, Colombo 5",Rs. 295M,295000000.0,4.0,4000.0,https://www.lankapropertyweb.com/sale/property_details-5763667.html,20.0,4.0
